"Indicator type","Indicator","Description"
"IPv4","45.77.250.141","CC=SG ASN=AS20473 AS-CHOOPA"
"FileHash-MD5","93897b62e4fbd8e7f49065a47739ac03","MD5 of f922aa506602942701584250b353df5217d7598bf8c15d3e6b56445460e1b805"
"FileHash-MD5","c82fa8958652d17113a8408c1f9cda19","MD5 of d9ede644ea69ea3ae83b7bd098b016e9f93efaf727a041eee01253dc883e32ae"
"FileHash-MD5","faaf20971695fc040c57c18caaf3a0e7","MD5 of 49065d4f22ac3ec29031a3bb2cceb0dc7817b70928a364ab67f8043b0ba1556e"
"FileHash-SHA1","56d204611fc1b1440b54bcaca98180735d0532af","SHA1 of d9ede644ea69ea3ae83b7bd098b016e9f93efaf727a041eee01253dc883e32ae"
"FileHash-SHA1","9af60067b522010ba7f13926db13a3d7924e18b0","SHA1 of 49065d4f22ac3ec29031a3bb2cceb0dc7817b70928a364ab67f8043b0ba1556e"
"FileHash-SHA1","b54dfe2264cfb380e5961dd66e25515d0f5586d0","SHA1 of f922aa506602942701584250b353df5217d7598bf8c15d3e6b56445460e1b805"
"FileHash-SHA256","333b52c2cfac56b86ee9d54aef4f0ff4144528917bc1aa1fe1613efc2318339a",""
"FileHash-SHA256","49065d4f22ac3ec29031a3bb2cceb0dc7817b70928a364ab67f8043b0ba1556e",""
"FileHash-SHA256","d9ede644ea69ea3ae83b7bd098b016e9f93efaf727a041eee01253dc883e32ae",""
"FileHash-SHA256","ed3846c5dfd4e6aeb43e4c45966c985f3d02066d348bd7fc6bd0613b70f846cb",""
"FileHash-SHA256","f922aa506602942701584250b353df5217d7598bf8c15d3e6b56445460e1b805",""
"FileHash-SHA256","fd15d8bf6dd3858897dbc352b64577fd73cfd7ba4c3e4c7e77a070fa43264216",""
"URL","http://45.77.250.141/api/v2/ajax",""
